Match_ID,Batting_Team,Over_Number,Ball_Number,Batter,Bowler,Runs_Batter,Runs_Extras,Runs_Total,Is_Wide,Is_NoBall,Byes,LegByes,Is_Wicket,Dismissal_Kind,Player_Out,Substitution_Event
1473500,Chennai Super Kings,0,1,A Mhatre,TU Deshpande,1,0,1,0,0,0,0,0,,,0
1473500,Chennai Super Kings,0,2,DP Conway,TU Deshpande,2,0,2,0,0,0,0,0,,,0
1473500,Chennai Super Kings,0,3,DP Conway,TU Deshpande,4,0,4,0,0,0,0,0,,,0
1473500,Chennai Super Kings,0,4,DP Conway,TU Deshpande,0,0,0,0,0,0,0,0,,,0
1473500,Chennai Super Kings,0,5,DP Conway,TU Deshpande,0,0,0,0,0,0,0,0,,,0
1473500,Chennai Super Kings,0,6,DP Conway,TU Deshpande,0,0,0,0,0,0,0,0,,,0
1473500,Chennai Super Kings,1,1,A Mhatre,Yudhvir Singh,1,0,1,0,0,0,0,0,,,0
1473500,Chennai Super Kings,1,2,DP Conway,Yudhvir Singh,4,0,4,0,0,0,0,0,,,0
1473500,Chennai Super Kings,1,3,DP Conway,Yudhvir Singh,0,0,0,0,0,0,0,0,,,0
1473500,Chennai Super Kings,1,4,DP Conway,Yudhvir Singh,0,0,0,0,0,0,0,1,caught,DP Conway,0
1473500,Chennai Super Kings,1,5,Urvil Patel,Yudhvir Singh,0,0,0,0,0,0,0,0,,,0
1473500,Chennai Super Kings,1,6,Urvil Patel,Yudhvir Singh,0,0,0,0,0,0,0,1,caught,Urvil Patel,0
1473500,Chennai Super Kings,2,1,A Mhatre,TU Deshpande,0,0,0,0,0,0,0,0,,,0
1473500,Chennai Super Kings,2,2,A Mhatre,TU Deshpande,0,0,0,0,0,0,0,0,,,0
1473500,Chennai Super Kings,2,3,A Mhatre,TU Deshpande,4,0,4,0,0,0,0,0,,,0
1473500,Chennai Super Kings,2,4,A Mhatre,TU Deshpande,0,0,0,0,0,0,0,0,,,0
1473500,Chennai Super Kings,2,5,A Mhatre,TU Deshpande,4,0,4,0,0,0,0,0,,,0
1473500,Chennai Super Kings,2,6,A Mhatre,TU Deshpande,0,0,0,0,0,0,0,0,,,0
1473500,Chennai Super Kings,3,1,R Ashwin,Yudhvir Singh,1,0,1,0,0,0,0,0,,,0
1473500,Chennai Super Kings,3,2,A Mhatre,Yudhvir Singh,1,0,1,0,0,0,0,0,,,0
1473500,Chennai Super Kings,3,3,R Ashwin,Yudhvir Singh,4,0,4,0,0,0,0,0,,,0
1473500,Chennai Super Kings,3,4,R Ashwin,Yudhvir Singh,6,0,6,0,0,0,0,0,,,0
1473500,Chennai Super Kings,3,5,R Ashwin,Yudhvir Singh,0,2,2,0,1,0,1,0,,,0
1473500,Chennai Super Kings,3,6,A Mhatre,Yudhvir Singh,6,0,6,0,0,0,0,0,,,0
1473500,Chennai Super Kings,3,7,A Mhatre,Yudhvir Singh,4,0,4,0,0,0,0,0,,,0
1473500,Chennai Super Kings,4,1,R Ashwin,KT Maphaka,1,0,1,0,0,0,0,0,,,0
1473500,Chennai Super Kings,4,2,A Mhatre,KT Maphaka,0,0,0,0,0,0,0,0,,,0
1473500,Chennai Super Kings,4,3,A Mhatre,KT Maphaka,4,0,4,0,0,0,0,0,,,0
1473500,Chennai Super Kings,4,4,A Mhatre,KT Maphaka,0,0,0,0,0,0,0,0,,,0
1473500,Chennai Super Kings,4,5,A Mhatre,KT Maphaka,4,0,4,0,0,0,0,0,,,0
1473500,Chennai Super Kings,4,6,A Mhatre,KT Maphaka,2,0,2,0,0,0,0,0,,,0
1473500,Chennai Super Kings,5,1,R Ashwin,TU Deshpande,0,1,1,0,0,0,1,0,,,0
1473500,Chennai Super Kings,5,2,A Mhatre,TU Deshpande,4,0,4,0,0,0,0,0,,,0
1473500,Chennai Super Kings,5,3,A Mhatre,TU Deshpande,4,0,4,0,0,0,0,0,,,0
1473500,Chennai Super Kings,5,4,A Mhatre,TU Deshpande,4,0,4,0,0,0,0,0,,,0
1473500,Chennai Super Kings,5,5,A Mhatre,TU Deshpande,0,0,0,0,0,0,0,1,caught,A Mhatre,0
1473500,Chennai Super Kings,5,6,RA Jadeja,TU Deshpande,0,0,0,0,0,0,0,0,,,0
1473500,Chennai Super Kings,6,1,R Ashwin,PWH de Silva,1,0,1,0,0,0,0,0,,,0
1473500,Chennai Super Kings,6,2,RA Jadeja,PWH de Silva,1,0,1,0,0,0,0,0,,,0
1473500,Chennai Super Kings,6,3,R Ashwin,PWH de Silva,0,0,0,0,0,0,0,1,caught,R Ashwin,0
1473500,Chennai Super Kings,6,4,D Brevis,PWH de Silva,1,0,1,0,0,0,0,0,,,0
1473500,Chennai Super Kings,6,5,RA Jadeja,PWH de Silva,0,0,0,0,0,0,0,0,,,0
1473500,Chennai Super Kings,6,6,RA Jadeja,PWH de Silva,0,0,0,0,0,0,0,0,,,0
1473500,Chennai Super Kings,7,1,D Brevis,Yudhvir Singh,4,0,4,0,0,0,0,0,,,0
