Venue,City,Venue_ID
"Arun Jaitley Stadium, Delhi",Delhi,1
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,2
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",New Chandigarh,3
"Narendra Modi Stadium, Ahmedabad",Ahmedabad,4
"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",New Chandigarh,5
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,6
"Eden Gardens, Kolkata",Kolkata,7
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,8
"Sawai Mansingh Stadium, Jaipur",Jaipur,9
"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,10
"M Chinnaswamy Stadium, Bengaluru",Bengaluru,11
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam,12
"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dharamsala,13
"Wankhede Stadium, Mumbai",Mumbai,14
"Barsapara Cricket Stadium, Guwahati",Guwahati,15
